"","accuracy","correct.conf","incorrect.conf"
"1",0.24,5.83333333333333,5.55263157894737
"2",0.209302325581395,4.66666666666667,4.85294117647059
"3",0.157894736842105,5,4.40625
"4",0.488372093023256,5.19047619047619,4.77272727272727
"5",0.222222222222222,4.66666666666667,4.38095238095238
"6",0.2,3.16666666666667,3.08333333333333
"7",0.127272727272727,3.14285714285714,4.3125
"8",0.172413793103448,4.6,2.58333333333333
"9",0.0857142857142857,6,4.40625
"10",0.2,3.2,2.125
"11",0.166666666666667,6,5.96
"12",0.377358490566038,5.4,4.60606060606061
"13",0.166666666666667,5.25,4.975
"14",0.324324324324324,4.83333333333333,3.5
"15",0.282608695652174,6,5.21875
"16",0.172413793103448,5,4.45833333333333
"17",0.189189189189189,3.14285714285714,3.63333333333333
"18",0.175438596491228,6,5.68085106382979
"19",0.171428571428571,5.5,4.82758620689655
"20",0.0740740740740741,3,3.68
"21",0.333333333333333,3.5,5.25
"22",0.1,5.8,5.55555555555556
"23",0.181818181818182,4.5,4.11111111111111
"24",0.725,6,5.72727272727273
"25",0.191489361702128,2.88888888888889,3.21052631578947
"26",0.32,6,5.15151515151515
"27",0.5,5.78947368421053,3.10526315789474
"28",0.125,2.85714285714286,2.73469387755102
"29",0.75,2.83333333333333,1.5
"30",0.326086956521739,4.66666666666667,4.67741935483871
"31",0.608695652173913,5.78571428571429,5.5
"32",0.135135135135135,4.8,5.625
"33",0.166666666666667,5.5,3.7
"34",0.12,6,5.5
"35",0.0512820512820513,6,5.24324324324324
"36",0.307692307692308,6,5.16666666666667
"37",0.0714285714285714,5.33333333333333,5.69230769230769
"38",0.08,1,3.1304347826087
"39",0.125,6,4.5
"40",0.40625,5.84615384615385,5.73684210526316
